1,50,4,7,2026-01-11,1536,Dropshipping,Deposit
2,96,6,7,2025-12-02,1263,Misc,Withdrawal
3,82,4,7,2026-01-16,4888,Dropshipping,Deposit
4,38,2,5,2025-12-31,110,Groceries,Withdrawal
5,45,7,3,2025-12-03,377,Utilities,Withdrawal
6,22,2,5,2026-01-06,225,Groceries,Withdrawal
7,26,3,4,2026-01-21,1809,Rent,Withdrawal
8,29,3,4,2025-09-02,1574,Rent,Withdrawal
9,85,2,2,2025-09-07,222,Groceries,Withdrawal
10,94,2,5,2025-12-01,602,Groceries,Withdrawal
11,13,6,8,2026-01-04,2949,Misc,Withdrawal
12,68,6,5,2025-09-15,3656,Misc,Withdrawal
13,14,1,1,2025-10-02,267,Salary,Deposit
14,47,2,5,2025-10-31,580,Groceries,Withdrawal
15,99,1,1,2025-10-04,994,Salary,Deposit
16,93,7,3,2025-09-01,127,Utilities,Withdrawal
17,66,6,6,2025-11-19,2375,Misc,Withdrawal
18,61,6,2,2025-09-14,2793,Misc,Withdrawal
19,83,6,2,2025-10-25,863,Misc,Withdrawal
20,62,6,8,2025-12-03,4865,Misc,Withdrawal
21,60,2,6,2026-01-12,60,Groceries,Withdrawal
22,16,6,2,2025-09-20,1646,Misc,Withdrawal
23,84,1,1,2025-12-18,3799,Salary,Deposit
24,60,7,3,2025-12-28,514,Utilities,Withdrawal
25,77,3,4,2025-11-23,3088,Rent,Withdrawal
26,7,2,6,2025-09-24,158,Groceries,Withdrawal
27,79,1,1,2026-01-25,3373,Salary,Deposit
28,9,2,2,2025-11-06,677,Groceries,Withdrawal
29,42,7,3,2026-01-16,467,Utilities,Withdrawal
30,46,3,4,2025-11-20,2269,Rent,Withdrawal
31,26,6,8,2025-11-28,2611,Misc,Withdrawal
32,36,7,3,2025-11-14,458,Utilities,Withdrawal
33,56,7,3,2025-12-02,121,Utilities,Withdrawal
34,8,4,8,2025-12-05,4038,Dropshipping,Deposit
35,25,6,6,2025-12-27,4817,Misc,Withdrawal
36,98,6,8,2025-12-04,1900,Misc,Withdrawal
37,38,6,8,2025-11-23,4583,Misc,Withdrawal
38,23,7,3,2025-12-21,443,Utilities,Withdrawal
39,84,3,4,2026-02-19,3703,Rent,Withdrawal
40,58,3,4,2025-10-21,2795,Rent,Withdrawal
41,30,6,5,2025-12-09,2688,Misc,Withdrawal
42,25,2,5,2026-02-13,18,Groceries,Withdrawal
43,12,6,8,2025-12-07,519,Misc,Withdrawal
44,16,3,4,2025-10-09,1900,Rent,Withdrawal
45,22,7,3,2025-09-26,337,Utilities,Withdrawal
46,3,2,6,2025-12-30,468,Groceries,Withdrawal
47,18,4,7,2026-01-24,1183,Dropshipping,Deposit
48,88,6,2,2025-12-16,4055,Misc,Withdrawal
49,4,6,5,2026-01-02,1697,Misc,Withdrawal
50,17,1,1,2025-09-15,539,Salary,Deposit
51,68,3,4,2025-11-27,927,Rent,Withdrawal
52,21,1,1,2026-01-29,3553,Salary,Deposit
53,84,2,2,2025-12-16,297,Groceries,Withdrawal
54,9,3,4,2026-01-27,1296,Rent,Withdrawal
55,65,6,5,2025-12-28,1200,Misc,Withdrawal
56,68,7,3,2025-11-12,499,Utilities,Withdrawal
57,74,4,8,2025-10-16,751,Dropshipping,Deposit
58,50,3,4,2025-09-27,1582,Rent,Withdrawal
59,69,6,6,2025-12-04,3231,Misc,Withdrawal
60,84,7,3,2025-12-20,597,Utilities,Withdrawal
61,34,6,6,2025-10-12,1087,Misc,Withdrawal
62,79,3,4,2025-09-20,3078,Rent,Withdrawal
63,84,7,3,2026-01-02,176,Utilities,Withdrawal
64,70,7,3,2025-12-23,189,Utilities,Withdrawal
65,45,6,5,2025-08-31,3733,Misc,Withdrawal
66,61,3,4,2025-10-12,2820,Rent,Withdrawal
67,89,4,8,2025-12-06,155,Dropshipping,Deposit
68,11,7,3,2026-01-02,186,Utilities,Withdrawal
69,6,4,7,2025-12-06,3372,Dropshipping,Deposit
70,74,4,8,2026-01-20,4193,Dropshipping,Deposit
71,13,6,7,2025-10-08,2950,Misc,Withdrawal
72,51,7,3,2025-12-21,581,Utilities,Withdrawal
73,55,4,7,2026-01-16,866,Dropshipping,Deposit
74,18,6,5,2026-02-16,2801,Misc,Withdrawal
75,61,2,2,2025-12-12,370,Groceries,Withdrawal
76,88,3,4,2025-09-06,1261,Rent,Withdrawal
77,68,4,8,2025-08-26,2518,Dropshipping,Deposit
78,64,2,6,2025-12-30,209,Groceries,Withdrawal
79,71,7,3,2026-02-05,294,Utilities,Withdrawal
80,90,7,3,2025-12-22,181,Utilities,Withdrawal
81,55,4,8,2026-02-11,2914,Dropshipping,Deposit
82,69,1,1,2025-11-14,506,Salary,Deposit
83,69,6,2,2025-09-12,1295,Misc,Withdrawal
84,31,6,8,2025-09-09,2839,Misc,Withdrawal
85,7,6,2,2025-10-03,1478,Misc,Withdrawal
86,48,3,4,2025-12-05,3339,Rent,Withdrawal
87,18,1,1,2025-11-08,2764,Salary,Deposit
88,60,4,7,2025-10-16,742,Dropshipping,Deposit
89,86,4,8,2025-12-19,1842,Dropshipping,Deposit
90,3,6,6,2026-02-07,22,Misc,Withdrawal
91,4,6,7,2025-11-18,10,Misc,Withdrawal
92,4,2,6,2026-01-05,285,Groceries,Withdrawal
93,15,2,2,2025-11-03,683,Groceries,Withdrawal
94,73,2,5,2025-10-02,641,Groceries,Withdrawal
95,14,7,3,2025-11-28,518,Utilities,Withdrawal
96,61,6,7,2026-01-03,1227,Misc,Withdrawal
97,44,6,8,2025-09-21,2166,Misc,Withdrawal
98,27,2,5,2026-01-30,390,Groceries,Withdrawal